dataset,model,trial,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_roc_auc,train_log_loss,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_log_loss
cardio,forest,1,0.83,0.8205870194295163,0.8180354267310789,0.8267090620031796,0.824607863108576,0.8297200653338761,0.096708893744723,0.7279692307692308,0.7374355054462067,0.7114017541160178,0.7472696508229503,0.7236864744802991,0.7279357426730353,10.004670568997817
cardio,forest,2,0.8556,0.8357903357903358,0.8453689167974883,0.8356443719412724,0.8578801111552203,0.8581934844461062,0.0828933831867587,0.7245076923076923,0.7345225603357818,0.7132990040393451,0.7437133470478062,0.7209400308974299,0.7252352803267879,10.054621585843535
cardio,forest,3,0.82,0.8450526315789474,0.9240456513183786,0.851565677104514,0.8166836215666327,0.8197091089619465,0.11052472414165934,0.7292153846153846,0.7349810973091464,0.7097231641901474,0.7432897242184141,0.7246286258766927,0.7289865166619363,10.091817486427875
cardio,forest,4,0.829,0.8448060075093867,0.992862807295797,0.8506860371267151,0.82699735718642,0.8288137833393818,0.13815574525758786,0.7261692307692308,0.7317543637743485,0.7143605385587084,0.7400362597179116,0.7225570719215515,0.7262272329412106,10.07694059745341
cardio,forest,5,0.8136,0.8204296716659911,0.9021090330282531,0.8222758343385606,0.8096482412060302,0.811847952368632,0.12434055453859566,0.7285692307692307,0.73134375,0.7243269882338447,0.7365832667363373,0.7270080227983768,0.7290691908203404,10.075347619517741
cardio,forest,6,0.8116,0.8311461067366579,0.7747858017135862,0.8501373087485289,0.8029598308668077,0.8112924661137823,0.13124767013963365,0.7302,0.7490691489361702,0.6929107230693556,0.7673380142892338,0.7195883866225653,0.7303697804590843,9.955776871073954
cardio,forest,7,0.8226,0.8368705784436121,0.920863309352518,0.8402722177742193,0.8189233278955954,0.8220149260895526,0.0759857878272626,0.7293846153846154,0.7447332960857134,0.6998183329741048,0.7613381299388126,0.7207464987998156,0.7296238404459282,10.03973770961768
cardio,forest,avg,0.8260571428571429,0.8335260501649211,0.882581563748157,0.8396129298624272,0.8225286218550403,0.8259416838076111,0.10855096554803156,0.7280021978021979,0.7376913888410525,0.7094057864545034,0.7485097703959237,0.7227364444852472,0.7282067977611889,10.042701776990288
cardio,svm,1,0.7372,0.8057553956834532,0.8144122383252818,1.0,0.7194705380017079,0.7368257003806876,17.158864112991626,0.7276,0.8083867210250437,0.800369287582705,1.0,0.7107713417622268,0.7275910657418004,17.266731368501887
cardio,svm,2,0.7332,0.7485667485667485,1.0,0.7606035889070146,0.7326653306613227,0.7335088006842844,16.9313001514455,0.7264153846153846,0.7334268230494646,0.9997841571336067,0.7579293192913507,0.7213001708276522,0.7263796921123922,17.309641266974186
cardio,svm,3,0.737,0.7857142857142857,1.0,0.824318828792192,0.7266680523799626,0.7378183636270812,16.979655557834775,0.7272615384615385,0.7730724626837754,0.9996300635057649,0.8137092316196793,0.7166059210946991,0.7271924556949583,17.30432742454479
cardio,svm,4,0.735,0.7777262180974478,1.0,0.8022598870056498,0.7415966386554622,0.7356254468346027,17.11090594660567,0.7271538461538462,0.7520545130804,0.9999691900052377,0.7867436929600836,0.7107929304228323,0.7270871534997839,17.293699985715982
cardio,svm,5,0.7344,0.7702188392007612,1.0,0.8057901085645356,0.725506407606449,0.7345883432688021,17.179985098590354,0.7255230769230769,0.7659860485394565,1.0,0.8020224995389439,0.7158216657906054,0.7254881568419496,17.287854851304893
cardio,svm,6,0.7284,0.7763713080168776,0.8212974296205631,1.0,0.704654197477164,0.7271034840744419,16.924000753345208,0.7278615384615384,0.7843588045045397,0.8134837678307919,1.0,0.709143824917375,0.7279175220708519,17.280547026677837
cardio,svm,7,0.7386,0.9036144578313253,1.0,0.9967974379503602,0.7246682115020012,0.7386409527302097,17.255972165773503,0.7280461538461539,0.8315450643776824,1.0,0.9951726470497801,0.7124335052301085,0.7280080962047649,17.282009692290806
cardio,svm,avg,0.7348285714285714,0.795423893301557,0.9479585239922635,0.884252835888536,0.7250327680405814,0.7348730130857299,17.07724054094095,0.7271230769230768,0.7784043481800518,0.9447480665797293,0.8793681986371196,0.7138384800065,0.7270948774523573,17.2892588022872
